sprint_id	title	status	created_at	updated_at
001	Realtime Pipeline Status Updates	completed	2026-02-25T22:09:24Z	2026-02-25T22:12:03Z
002	Pipeline Iteration	completed	2026-02-26T05:30:53Z	2026-02-26T05:40:39Z
003	Pipeline Run Export / Import	completed	2026-02-26T05:54:27Z	2026-02-26T06:00:55Z
004	Dashboard Tab	completed	2026-02-26T07:40:03Z	2026-02-26T07:56:08Z
005	Pipeline Version History	completed	2026-02-26T16:44:39Z	2026-02-26T17:01:09Z
006	Pipeline History Navigation	completed	2026-02-26T17:17:58Z	2026-02-26T17:39:09Z
007	Intelligent Failure Diagnosis and Self-Healing	completed	2026-02-26T19:44:37Z	2026-02-26T20:03:44Z
008	Performance Optimization	completed	2026-02-26T23:11:12Z	2026-02-26T23:15:37Z
009	Critical Path Test Coverage	completed	2026-02-26T23:26:01Z	2026-02-26T23:32:00Z
010	Full-Featured RESTful API (v1)	completed	2026-02-27T17:33:14Z	2026-02-27T17:53:27Z
011	AI Provider Execution Mode & Per-Provider Toggles	completed	2026-02-27T18:02:28Z	2026-02-27T18:12:36Z
012	Kotlin CLI Client for Attractor REST API	completed	2026-02-27T18:28:07Z	2026-02-27T18:45:32Z
013	In-App Documentation Window	completed	2026-03-02T16:37:25Z	2026-03-02T16:59:14Z
014	DOT File Upload on Create Page	completed	2026-03-02T18:10:00Z	2026-03-02T18:44:14Z
015	Comprehensive Test Coverage	completed	2026-03-02T20:01:32Z	2026-03-03T15:48:22Z
016	Closeable Pipeline Tabs	completed	2026-03-03T20:14:50Z	2026-03-03T20:40:04Z
017	Dashboard Layout Toggle (Card / List)	completed	2026-03-04T17:24:18Z	2026-03-04T17:29:52Z
018	Pipeline Completion State Clarity	completed	2026-03-04T17:42:20Z	2026-03-04T17:45:20Z
019	Rename "Pipeline" → "Project"	completed	2026-03-04T18:10:29Z	2026-03-04T18:32:44Z
020	Workspace Git Versioning	completed	2026-03-04T19:26:15Z	2026-03-04T19:31:50Z
021	Project Git History Panel	completed	2026-03-04T20:18:37Z	2026-03-04T20:27:16Z
022	Hugo Docs Microsite on GitHub Pages	completed	2026-03-04T20:54:51Z	2026-03-05T03:51:08Z
